title,link,category,website,published
David Squires on …. Mikel Arteta’s maverick Arsenal team-building efforts,https://www.theguardian.com/football/picture/2024/aug/13/david-squires-on-mikel-arteta-maverick-arsenal-team-building-efforts,Football,The Guardian,2024-08-13 10:27:59+0000
Men’s transfer window summer 2024: all deals from Europe’s top five leagues,https://www.theguardian.com/football/ng-interactive/2024/may/28/mens-transfer-window-summer-2024-premier-league-la-liga-serie-a-bundesliga-ligue-1,Football,The Guardian,2024-08-12 11:21:52+0000
Women’s transfer window summer 2024: all deals from Europe’s top five leagues,https://www.theguardian.com/football/ng-interactive/2024/may/28/womens-transfer-window-summer-2024-wsl-liga-f-frauen-bundesliga-division-1-feminine,Football,The Guardian,2024-08-12 11:21:25+0000
Premier League 2024-25 preview No 14: Manchester United,https://www.theguardian.com/football/article/2024/aug/13/premier-league-2024-25-preview-no-14-manchester-united,Football,The Guardian,2024-08-13 11:00:12+0000
Arsenal sign Rosa Kafaji as Eidevall hails ‘one of the most exciting young talents’,https://www.theguardian.com/football/article/2024/aug/13/arsenal-sign-rosa-kafaji-as-eidevall-hails-one-of-the-most-exciting-young-talents,Football,The Guardian,2024-08-13 09:17:07+0000
‘Fight hate with love’: Manchester United’s Geyse defiant after homophobic abuse,https://www.theguardian.com/football/article/2024/aug/13/fight-hate-with-love-manchester-uniteds-geyse-defiant-after-homophobic-abuse,Football,The Guardian,2024-08-13 09:08:53+0000
Martín Zubimendi declines Liverpool move as Brentford seal Carvalho deal,https://www.theguardian.com/football/article/2024/aug/12/brentford-fabio-carvalho-completes-27m-move-from-liverpool,Football,The Guardian,2024-08-12 20:38:36+0000
Team GB men’s football team back on the Olympic table for Los Angeles 2028,https://www.theguardian.com/sport/article/2024/aug/12/boa-team-gb-mens-football-team-los-angeles-olympics-2028,Football,The Guardian,2024-08-12 16:00:45+0000
Scott Parker’s Burnley reign off to flying start as Vitinho caps rout of Luton,https://www.theguardian.com/football/article/2024/aug/12/parkers-burnley-reign-off-to-perfect-start-at-luton-as-vitinho-caps-rout,Football,The Guardian,2024-08-12 21:05:02+0000
Premier League 2024-25 preview No 13: Manchester City,https://www.theguardian.com/football/article/2024/aug/13/premier-league-2024-25-preview-no-13-manchester-city,Football,The Guardian,2024-08-12 23:01:04+0000
Premier League 2024-25 preview No 12: Liverpool,https://www.theguardian.com/football/article/2024/aug/12/premier-league-2024-25-preview-no-12-liverpool,Football,The Guardian,2024-08-12 11:00:38+0000
Premier League 2024-25 preview No 11: Leicester City,https://www.theguardian.com/football/article/2024/aug/12/premier-league-2024-25-preview-no-11-leicester-city,Football,The Guardian,2024-08-11 23:01:25+0000
Premier League 2024-25 preview No 10: Ipswich Town,https://www.theguardian.com/football/article/2024/aug/09/premier-league-2024-25-preview-no-10-ipswich-town,Football,The Guardian,2024-08-09 11:00:11+0000
The loss and loneliness of the unemployed football manager,https://www.theguardian.com/football/article/2024/aug/12/loss-loneliness-unemployed-football-manager,Football,The Guardian,2024-08-12 10:00:39+0000
Chelsea’s pervasive chaos threatens to destabilize another season | Jonathan Wilson,https://www.theguardian.com/football/article/2024/aug/12/chelsea-pre-season-enzo-maresca,Football,The Guardian,2024-08-12 15:08:36+0000
Hayes’s Olympic victory with USWNT is story woven with love and loss | Suzanne Wrack,https://www.theguardian.com/sport/article/2024/aug/11/usa-womens-football-emma-hayes-story-love-loss-2024-paris-olympic-games,Football,The Guardian,2024-08-11 12:02:01+0000
Was FA’s appointment of Lee Carsley down to political cunning or lack of options? | Jonathan Wilson,https://www.theguardian.com/football/article/2024/aug/11/was-fas-appointment-of-lee-carsley-down-to-political-cunning-or-lack-of-options,Football,The Guardian,2024-08-11 07:00:09+0000
"Premier League 2024-25 fan previews, part one: Arsenal to Ipswich",https://www.theguardian.com/football/article/2024/aug/11/premier-league-2023-24-fan-previews-part-one-arsenal-to-fulham,Football,The Guardian,2024-08-11 07:19:25+0000
"Premier League 2024-25 fan previews, part two: Leicester to Wolves",https://www.theguardian.com/football/article/2024/aug/11/premier-league-2024-25-fan-previews-part-two-leicester-to-wolves,Football,The Guardian,2024-08-11 07:25:41+0000
Argentinian forward scores sensational bicycle kick from outside the box – video,https://www.theguardian.com/sport/video/2024/aug/06/argentinian-footballer-scores-sensational-bicycle-kick-from-outside-the-box-video,Football,The Guardian,2024-08-06 11:19:23+0000
What is Gareth Southgate's legacy as he steps down as England manager? – video,https://www.theguardian.com/football/video/2024/jul/16/what-is-gareth-southgates-legacy-as-he-steps-down-as-england-manager-video,Football,The Guardian,2024-07-16 16:47:10+0000
"Kylian Mbappé fulfils dream as he is presented at Real Madrid in front of 80,000 fans – video",https://www.theguardian.com/football/video/2024/jul/16/kylian-mbappe-fulfils-dream-as-he-is-presented-at-real-madrid-in-front-of-80000-fans-video,Football,The Guardian,2024-07-16 13:34:41+0000
Spain receive heroes' welcome in Madrid following Euro 2024 victory – video,https://www.theguardian.com/global/video/2024/jul/15/spain-receive-heroes-welcome-in-madrid-following-euro-2024-victory-video,Football,The Guardian,2024-07-15 21:37:48+0000
Goalkeeper fixes hole in pitch mid-match with conveniently placed shovel and dirt – video,https://www.theguardian.com/sport/video/2024/jul/15/goalkeeper-fixes-hole-in-pitch-mid-match-with-conveniently-placed-shovel-and-dirt-video,Football,The Guardian,2024-07-15 15:27:49+0000
Argentina fans celebrate Copa América victory as Colombia supporters are left heartbroken – video,https://www.theguardian.com/football/video/2024/jul/15/argentina-fans-celebrate-copa-america-victory-as-colombia-supporters-are-left-heartbroken-video,Football,The Guardian,2024-07-15 15:25:51+0000
Euro 2024 awards: the Guardian team in Germany give their verdicts,https://www.theguardian.com/football/article/2024/jul/16/euro-2024-awards-the-guardian-team-in-germany-give-their-verdicts,Football,The Guardian,2024-07-16 19:00:00+0000
Comeback kings and queens at major international football tournaments | The Knowledge,https://www.theguardian.com/football/article/2024/jul/17/the-knowledge-comeback-kings-queens-major-international-football-tournaments,Football,The Guardian,2024-07-17 07:00:17+0000
How entertaining was Euro 2024? Our readers review the tournament,https://www.theguardian.com/football/article/2024/jul/17/euro-2024-entertaining-review-tournament-georgia-turkey-austria-spain,Football,The Guardian,2024-07-17 09:20:35+0000
David Squires on … England and the sound of silence after Euro 2024,https://www.theguardian.com/football/picture/2024/jul/16/david-squires-on-england-gareth-southgate-and-the-sound-of-silence-after-euro-2024,Football,The Guardian,2024-07-16 11:02:16+0000
Hayes courts disaster but leaves instant mark with US Olympic football gold | Jonathan Liew,https://www.theguardian.com/sport/article/2024/aug/10/hayes-courts-disaster-but-makes-instant-mark-with-usa-olympic-football-gold,Football,The Guardian,2024-08-10 18:56:29+0000
Dani Olmo makes Barcelona return with €500m buyout clause set,https://www.theguardian.com/football/article/2024/aug/09/dani-olmo-signs-barcelona-rb-leipzig,Football,The Guardian,2024-08-09 14:04:28+0000
Camello’s extra-time double clinches football gold for Spain against France,https://www.theguardian.com/sport/article/2024/aug/09/football-olympics-paris-france-spain-final,Football,The Guardian,2024-08-09 19:00:25+0000
Moving the Goalposts | Magic end for Marta or stunning start for Hayes? Olympics delivers perfect final,https://www.theguardian.com/sport/article/2024/aug/07/moving-the-goalposts-brazil-usa-womens-olympic-football-final,Football,The Guardian,2024-08-07 12:16:52+0000
Steve McClaren leaves Manchester United to be Jamaica head coach,https://www.theguardian.com/football/article/2024/jul/31/steve-mcclaren-leaves-manchester-united-to-be-jamaica-head-coach,Football,The Guardian,2024-07-31 21:19:54+0000
French clubs and beIN Sports in conflict over Visit Qatar badge claim,https://www.theguardian.com/football/article/2024/jul/25/french-clubs-and-bein-sports-in-conflict-over-visit-qatar-badge-claim,Football,The Guardian,2024-07-25 17:33:35+0000
"Philadelphia’s Cavan Sullivan, 14, breaks Freddy Adu’s youngest MLS player mark",https://www.theguardian.com/football/article/2024/jul/17/cavan-sullivan-philadelphia-union-new-england-revolution-report,Football,The Guardian,2024-07-18 03:04:37+0000
